timestamp,duration_seconds,sell_threshold,pr_auc_threshold,prediction_threshold,n_offers_scored,n_will_sell,pct_will_sell,avg_sell_probability,champion_model,champion_trained_on,status,failed_reason
2026-04-05 15:53:12,14.32,0.8,0.7,0.5,363,106,0.292,0.2873,lightgbm,2026-04-04,success,
2026-04-05 17:24:43,12.58,0.8,0.7,0.5,330,101,0.3061,0.3054,lightgbm,2026-04-04,success,
2026-04-06 18:05:46,13.66,0.8,0.7,0.5,195,21,0.1077,0.117,lightgbm,2026-04-06,success,
