timestamp,query,duration_seconds,active_products_in_pool,nearby_stores,recipes_found,recipe_1_title,recipe_2_title,recipe_3_title,prompt_id,recipe_1_substitutions_made,recipe_1_candidate_eans,recipe_1_candidate_descriptions,recipe_2_substitutions_made,recipe_2_candidate_eans,recipe_2_candidate_descriptions,recipe_3_substitutions_made,recipe_3_candidate_eans,recipe_3_candidate_descriptions,location_filter_applied,dist_unit,max_dist,user_address,max_minutes,pipeline_status,failed_step
2026-06-02 10:38:05,brownie uden nødder,1.89,368,,3,Brownie,Sweet potato brownie,Brownie med søde kartofler,few_shot,0,5712877055537 | 5701012523789 | 5712878239035 | 5712875381836 | 5701205001568 | 5712874603960 | 5701246102835 | 5706911031557 | 5729100106294 | 5701246266315,BUTTERDEJ NÆMT | MØRKT RUGBRØD GAMLE MØLLE | SOLSIKKERUGBRØD ØGO | SOLSIKKESTYKKER GAMLE MØLLE | DGR. SOLSIKKE DET GODE | KRYDDERBOLLER GAMLE MØLLE | SOLSIKKE KOHBERG | MILKSHAKE CHOKOLADE PROTEIN LAB | MAR. NAKKEFILET VELSMAG | MØRKT RUGBRØD VORES,0,8711118034284 | 5712874603960 | 5706911031557 | 5712874603953 | 5712872136071 | 5712872143253,KARTOFLER PEKA | KRYDDERBOLLER GAMLE MØLLE | MILKSHAKE CHOKOLADE PROTEIN LAB | GULERODSBOLLER GAMLE MØLLE | KRYDDERBOLLER SALLING | FULDK KRYDDERBO SALLING,3,5711953173462 | 5706911027833 | 5711953133770 | 5712878239035 | 5713307900045 | 5701246102835 | 5701205001568 | 5701205007195 | 5712872136033 | 5712878239011,SKYR M/ VANILJE CHEASY | G. YOGH. BLÅBÆR ATHENA | YOG. JORDBÆR SALLING | SOLSIKKERUGBRØD ØGO | CHIAGRØD M/ MANGO THE PROTEIN KITCHEN | SOLSIKKE KOHBERG | DGR. SOLSIKKE DET GODE | SKYRBOLLE LEVEBRØD | HØRFRØBRØD SALLING | SOLSIKKERUGBRØD SALLING ØKO,False,,,,,success,
2026-06-02 10:39:38,risengrød,2.74,368,,3,Risengrød i ovn,Laktosefri risengrød med mandler og æble,"Byggrød med yoghurt, tyttebær og bacon",few_shot,1,5711953146640 | 5709364100085 | 7311070014211 | 5701205006938 | 5700426101613 | 5701205002015 | 5712872135173 | 5710326020303 | 5712872143253 | 5712874603960,ARLA SØDMÆLK ARLA | KNÆKBR. HAVSALT ALL IN ONE | GRØDBRØD PÅGEN | KERNEGROV LEVEBRØD | KÆRNEMÆLK ARLA | KERNEGROV SCHULSTAD | FULDKORNSSAND. SALLING | MINIMÆLK UHT | FULDK KRYDDERBO SALLING | KRYDDERBOLLER GAMLE MØLLE,1,5711953146640 | 5712872143253 | 5712872136071 | 5700426101613 | 5712874603960 | 5711953052064,ARLA SØDMÆLK ARLA | FULDK KRYDDERBO SALLING | KRYDDERBOLLER SALLING | KÆRNEMÆLK ARLA | KRYDDERBOLLER GAMLE MØLLE | 45+ ML M. KOM SALLING,3,5704000502285 | 5712874349691 | 5713507050809 | 5712876142795 | 4016241031419 | 5708330005188 | 5710607033022 | 5704000501950 | 5707196214284 | 5712872143253,BACON-PEBER POSTEJ STRYHNS | BACONPOSTEJ SALLING | ØKO YOGHURT PÆRE LØGISMOSE | BACON LEVERPOSTEJ EGELYKKE | YOG PÆR/BAN TOP YOGGI | BACON I SKIVER ØGO | BACON POSTEJ BORNHOLMER | KYLLING-BACON GRAASTEN | BACON 3-PAK TULIP | FULDK KRYDDERBO SALLING,False,,,,,success,
2026-06-02 10:40:10,risengrød,2.75,368,,3,Risengrød i ovn,Laktosefri risengrød med mandler og æble,"Byggrød med yoghurt, tyttebær og bacon",few_shot,1,5711953146640 | 5709364100085 | 7311070014211 | 5701205006938 | 5700426101613 | 5701205002015 | 5712872135173 | 5710326020303 | 5712872143253 | 5712874603960,ARLA SØDMÆLK ARLA | KNÆKBR. HAVSALT ALL IN ONE | GRØDBRØD PÅGEN | KERNEGROV LEVEBRØD | KÆRNEMÆLK ARLA | KERNEGROV SCHULSTAD | FULDKORNSSAND. SALLING | MINIMÆLK UHT | FULDK KRYDDERBO SALLING | KRYDDERBOLLER GAMLE MØLLE,2,5711953146640 | 5712872143253 | 5712872136071 | 5700426101613 | 5712874603960 | 5711953052064,ARLA SØDMÆLK ARLA | FULDK KRYDDERBO SALLING | KRYDDERBOLLER SALLING | KÆRNEMÆLK ARLA | KRYDDERBOLLER GAMLE MØLLE | 45+ ML M. KOM SALLING,3,5704000502285 | 5712874349691 | 5713507050809 | 5712876142795 | 4016241031419 | 5708330005188 | 5710607033022 | 5704000501950 | 5707196214284 | 5712872143253,BACON-PEBER POSTEJ STRYHNS | BACONPOSTEJ SALLING | ØKO YOGHURT PÆRE LØGISMOSE | BACON LEVERPOSTEJ EGELYKKE | YOG PÆR/BAN TOP YOGGI | BACON I SKIVER ØGO | BACON POSTEJ BORNHOLMER | KYLLING-BACON GRAASTEN | BACON 3-PAK TULIP | FULDK KRYDDERBO SALLING,False,,,,,success,
2026-06-02 10:40:39,spaghetti carbonara,2.82,368,,3,Spaghetti Carbonara med fløde,Spaghetti og torsk med parmaskinke,"Pasta med grønt, bacon og hytteost",few_shot,2,5708330005188 | 5707196214284 | 5712876101587 | 5704000501950 | 5712874349691 | 5704000502285 | 5712876142795,BACON I SKIVER ØGO | BACON 3-PAK TULIP | CHEDDAR SKIVER SALLING | KYLLING-BACON GRAASTEN | BACONPOSTEJ SALLING | BACON-PEBER POSTEJ STRYHNS | BACON LEVERPOSTEJ EGELYKKE,1,5712878291538 | 5701977003203 | 5712872135173 | 5711953052064 | 8001665128698 | 8001665731225 | 5712877663299 | 5712876101587 | 5707673107276 | 5707196252767,TORTELLONI SALLING ØKO | HAKKET GRØNT NATURLI | FULDKORNSSAND. SALLING | 45+ ML M. KOM SALLING | TORTE. PORCINI RANA | GNOCCHI SPI/MOZ RANA | OSTE PØLSER SALLING ØKO | CHEDDAR SKIVER SALLING | DANBO 45+ ML SALLING ØKO | HK GRIS/KALV VELSMAG,2,5708330005188 | 5712874349691 | 5707196214284 | 5704000502285 | 5712878291538 | 8001665128698 | 5712876142795 | 8001665731225,BACON I SKIVER ØGO | BACONPOSTEJ SALLING | BACON 3-PAK TULIP | BACON-PEBER POSTEJ STRYHNS | TORTELLONI SALLING ØKO | TORTE. PORCINI RANA | BACON LEVERPOSTEJ EGELYKKE | GNOCCHI SPI/MOZ RANA,False,,,,,success,
2026-06-02 10:41:30,pasta med svampesauce,3.58,368,,3,Pasta med svampe og stegt salatost,Orzo gryde med svampe ,Cremet svampesuppe med ravioli,few_shot,1,5712878522434 | 5712878291538 | 8001665128698,SVAMPE PASTASAUCE LA CAMPAGNA | TORTELLONI SALLING ØKO | TORTE. PORCINI RANA,2,5712878522434 | 8001665128698 | 8001665731225 | 5711953018701 | 5712878291538 | 5711953052064,SVAMPE PASTASAUCE LA CAMPAGNA | TORTE. PORCINI RANA | GNOCCHI SPI/MOZ RANA | HVID M/TRØFFEL CASTELLO | TORTELLONI SALLING ØKO | 45+ ML M. KOM SALLING,4,8001665128698 | 5712878522434 | 5712872143253 | 8001665731225 | 5711953018701 | 5760466904964,TORTE. PORCINI RANA | SVAMPE PASTASAUCE LA CAMPAGNA | FULDK KRYDDERBO SALLING | GNOCCHI SPI/MOZ RANA | HVID M/TRØFFEL CASTELLO | ØKO SMØRBAR KÆRGÅRDEN,False,,,,,success,
2026-06-02 10:49:07,pasta med svampesauce,3.53,368,,3,Pasta med svampe og stegt salatost,Orzo gryde med svampe ,Cremet svampesuppe med ravioli,zero_shot,2,5712878522434 | 5712878291538 | 8001665128698,SVAMPE PASTASAUCE LA CAMPAGNA | TORTELLONI SALLING ØKO | TORTE. PORCINI RANA,2,5712878522434 | 8001665128698 | 8001665731225 | 5711953018701 | 5712878291538 | 5711953052064,SVAMPE PASTASAUCE LA CAMPAGNA | TORTE. PORCINI RANA | GNOCCHI SPI/MOZ RANA | HVID M/TRØFFEL CASTELLO | TORTELLONI SALLING ØKO | 45+ ML M. KOM SALLING,4,8001665128698 | 5712878522434 | 5712872143253 | 8001665731225 | 5711953018701 | 5760466904964,TORTE. PORCINI RANA | SVAMPE PASTASAUCE LA CAMPAGNA | FULDK KRYDDERBO SALLING | GNOCCHI SPI/MOZ RANA | HVID M/TRØFFEL CASTELLO | ØKO SMØRBAR KÆRGÅRDEN,False,,,,,success,
2026-06-02 10:50:50,pasta med svampesauce,2.91,368,,3,Pasta med svampe og stegt salatost,Orzo gryde med svampe ,Cremet svampesuppe med ravioli,CoT_2,0,5712878522434 | 5712878291538 | 8001665128698,SVAMPE PASTASAUCE LA CAMPAGNA | TORTELLONI SALLING ØKO | TORTE. PORCINI RANA,1,5712878522434 | 8001665128698 | 8001665731225 | 5711953018701 | 5712878291538 | 5711953052064,SVAMPE PASTASAUCE LA CAMPAGNA | TORTE. PORCINI RANA | GNOCCHI SPI/MOZ RANA | HVID M/TRØFFEL CASTELLO | TORTELLONI SALLING ØKO | 45+ ML M. KOM SALLING,2,8001665128698 | 5712878522434 | 5712872143253 | 8001665731225 | 5711953018701 | 5760466904964,TORTE. PORCINI RANA | SVAMPE PASTASAUCE LA CAMPAGNA | FULDK KRYDDERBO SALLING | GNOCCHI SPI/MOZ RANA | HVID M/TRØFFEL CASTELLO | ØKO SMØRBAR KÆRGÅRDEN,False,,,,,success,
2026-06-02 18:10:05,kyllingeret,3.38,348,,3,Gryderet med kylling,Kyllingelevermousse med portvinssky,Kyllingefilet i ovn,CoT_2,2,5704000520937 | 5704080960227 | 5712875648816 | 5712875850264 | 5708330005126 | 5712877579507 | 5704000501080 | 5704000496812,KYLLING M. CHI SØNDER FRIST | KYLLINGEPØL. 1H 3 STJERNET | KYL.BRYST KRYD SALLING | KYLLINGEPØLSER SALLING | KYLLINGEPØLSE SALLING | KYLLINGEBRYST SALLING | HØNSESALAT NH | CLUB SANDWICH K-SALAT,0,5712876142795 | 5704000502285 | 5712875220616 | 5704080960227 | 5712876144713 | 5712874349691 | 5707196359916 | 5704000502292 | 5704000502377 | 5707196235616,BACON LEVERPOSTEJ EGELYKKE | BACON-PEBER POSTEJ STRYHNS | HVIDLØGSPATÉ SALLING | KYLLINGEPØL. 1H 3 STJERNET | FRANSK POSTEJ EGELYKKE | BACONPOSTEJ SALLING | KYLLINGEPOSTEJ ØKO FRILAND | FRANSK LET POST STRYHNS | FRANSK LEVERPOSTEJ STRYHNS | GROVHAK POSTEJ TULIP,1,5712875648816 | 5704080960227 | 5712877579507 | 8711118035038 | 5704000501974 | 5704000501080,KYL.BRYST KRYD SALLING | KYLLINGEPØL. 1H 3 STJERNET | KYLLINGEBRYST SALLING | BBQ KARTOFLER PEKA | HØNSESALAT GRAASTEN | HØNSESALAT NH,False,,,,,success,
2026-06-02 18:18:45,kyllingeret,2.99,348,,3,Gryderet med kylling,Kyllingelevermousse med portvinssky,Kyllingefilet i ovn,few_shot_2,2,5704000520937 | 5704080960227 | 5712875648816 | 5712875850264 | 5708330005126 | 5712877579507 | 5704000501080 | 5704000496812,KYLLING M. CHI SØNDER FRIST | KYLLINGEPØL. 1H 3 STJERNET | KYL.BRYST KRYD SALLING | KYLLINGEPØLSER SALLING | KYLLINGEPØLSE SALLING | KYLLINGEBRYST SALLING | HØNSESALAT NH | CLUB SANDWICH K-SALAT,2,5712876142795 | 5704000502285 | 5712875220616 | 5704080960227 | 5712876144713 | 5712874349691 | 5707196359916 | 5704000502292 | 5704000502377 | 5707196235616,BACON LEVERPOSTEJ EGELYKKE | BACON-PEBER POSTEJ STRYHNS | HVIDLØGSPATÉ SALLING | KYLLINGEPØL. 1H 3 STJERNET | FRANSK POSTEJ EGELYKKE | BACONPOSTEJ SALLING | KYLLINGEPOSTEJ ØKO FRILAND | FRANSK LET POST STRYHNS | FRANSK LEVERPOSTEJ STRYHNS | GROVHAK POSTEJ TULIP,2,5712875648816 | 5704080960227 | 5712877579507 | 8711118035038 | 5704000501974 | 5704000501080,KYL.BRYST KRYD SALLING | KYLLINGEPØL. 1H 3 STJERNET | KYLLINGEBRYST SALLING | BBQ KARTOFLER PEKA | HØNSESALAT GRAASTEN | HØNSESALAT NH,False,,,,,success,
2026-06-02 18:22:23,kyllingeret,2.77,348,,3,Gryderet med kylling,Kyllingelevermousse med portvinssky,Kyllingefilet i ovn,zero_shot,2,5704000520937 | 5704080960227 | 5712875648816 | 5712875850264 | 5708330005126 | 5712877579507 | 5704000501080 | 5704000496812,KYLLING M. CHI SØNDER FRIST | KYLLINGEPØL. 1H 3 STJERNET | KYL.BRYST KRYD SALLING | KYLLINGEPØLSER SALLING | KYLLINGEPØLSE SALLING | KYLLINGEBRYST SALLING | HØNSESALAT NH | CLUB SANDWICH K-SALAT,0,5712876142795 | 5704000502285 | 5712875220616 | 5704080960227 | 5712876144713 | 5712874349691 | 5707196359916 | 5704000502292 | 5704000502377 | 5707196235616,BACON LEVERPOSTEJ EGELYKKE | BACON-PEBER POSTEJ STRYHNS | HVIDLØGSPATÉ SALLING | KYLLINGEPØL. 1H 3 STJERNET | FRANSK POSTEJ EGELYKKE | BACONPOSTEJ SALLING | KYLLINGEPOSTEJ ØKO FRILAND | FRANSK LET POST STRYHNS | FRANSK LEVERPOSTEJ STRYHNS | GROVHAK POSTEJ TULIP,1,5712875648816 | 5704080960227 | 5712877579507 | 8711118035038 | 5704000501974 | 5704000501080,KYL.BRYST KRYD SALLING | KYLLINGEPØL. 1H 3 STJERNET | KYLLINGEBRYST SALLING | BBQ KARTOFLER PEKA | HØNSESALAT GRAASTEN | HØNSESALAT NH,False,,,,,success,
